,Accident_Index,Longitude,Latitude
1472303,2.01352E+12,-2.559608,51.187944
717931,200854ER39708,-2.00927,51.192825
980452,201030C000718,-1.429258,53.260181
1740956,2.01544E+12,-1.088155,50.846026
1037659,2.01053E+12,-2.289416,51.798506
637547,200820E063302,-1.817682,52.443624
1615691,201450CT2E001,-4.190136,50.977834
1596407,201443W277124,-0.979706,51.451607
306320,2.00636E+12,1.238595,52.683147
1318109,201245RU73700,-0.493074,51.380149
239505,200606K064408,-2.474783,53.561996
278222,200620L035601,-1.821389,52.400207
636061,200820D063901,-1.88901,52.512847
1403828,2.01313E+12,-1.780828,53.760123
936744,201005EE07608,-2.87821,53.431353
727832,200863CP15608,-5.11681,51.754201
1058868,201101BS70339,-0.185175,51.48046
1014262,2.01044E+12,-1.395717,50.92347
940182,201006K037178,-2.412018,53.597284
1541608,2.01413E+12,-1.555171,53.809904
135339,200543W102035,-0.967602,51.4548
81935,200520G090902,-2.081616,52.600254
67205,2.00513E+12,-1.631267,53.685602
1199446,201163CP07511,-4.801622,51.691092
226890,200604CA06106,-2.632018,53.667784
952443,2.01012E+12,-1.52718,54.122506
6063,200501HT20667,-0.060813,51.509314
1500414,201401HT20222,-0.025038,51.530121
227104,200604CH06032,-2.831162,53.673398
731623,2.00894E+12,-3.047454,56.171069
80558,200520F137801,-1.893667,52.475812
838338,200937G027216,1.262394,52.021162
660790,2.00833E+12,-1.126965,52.716814
842162,20094100F0019,-0.293033,51.719479
586272,200801TW60023,-0.362622,51.427678
233111,200605DD12845,-2.688772,53.472327
954316,2.01013E+12,-1.805091,53.620576
215586,200601TB00281,-0.422343,51.502146
545610,200754DC43207,-1.746448,51.545841
1374104,201301WW50557,-0.150227,51.468583
1262288,201214A162712,-1.140997,53.513022
328086,200643W242036,-0.615105,51.474276
1400398,2.01313E+12,-1.604211,53.846703
1507993,201401PY20134,0.054688,51.42749
346570,2.00647E+12,-0.385682,50.83626
19637,200501TX20208,-0.423423,51.437414
875129,200950GR2B017,-5.156082,50.28513
173923,200554MA00805,-2.079229,51.514707
47168,200506Q029005,-2.168603,53.52336
147823,200545WO76084,-0.558719,51.321445
629580,200814B086408,-1.468161,53.531465
9328,200501KF60818,0.067041,51.535368
1396837,201311SJ27913,-1.572407,54.518581
1429247,201332N480913,-0.642342,53.169952
1514643,201401WW50118,-0.176767,51.463783
1654791,201501QA10351,-0.363707,51.582865
690631,2.00844E+12,-0.806287,51.249233
1196886,2.01162E+12,-3.246202,51.475563
438344,200711CG20730,-1.598206,54.859263
649558,200822FA88637,-2.708975,52.728336
738247,200897NA03304,-4.023589,55.843498
1748593,2.01546E+12,0.577108,51.275569
1612042,2.01447E+12,-0.371483,50.809254
185265,200563DP40905,-3.314853,52.305818
341439,2.00646E+12,0.192679,51.277768
888533,2.00962E+12,-3.402148,51.752017
1012317,2.01044E+12,-1.336878,50.908942
1472542,2.01352E+12,-3.17696,51.151655
580585,200801MM70073,-0.060841,51.491689
1633950,2.01494E+12,-3.168353,56.197229
175655,2005555P01846,-1.92909,50.752352
1737169,201543S148075,-0.767781,52.031415
1768002,2.01561E+12,-2.950844,51.718597
1187157,2.01152E+12,-2.438048,51.497821
576328,200801JC72085,-0.017196,51.554628
855781,2.00944E+12,-1.068991,50.811968
1604285,2.01445E+12,-0.783215,51.217343
292239,200630M010181,-1.297063,53.285903
657229,20083102C3408,-1.18859,52.961685
777678,200906M012065,-2.258268,53.4601
657259,20083102C3558,-1.195468,52.976115
1205669,201197AB03012,-4.266682,55.865053
1036946,2.01052E+12,-2.493947,51.418201
397238,200701LX50390,-0.122578,51.47219
1063920,201101HT20554,-0.055583,51.527213
39214,200506A026194,-2.210468,53.509721
25744,200501ZD30747,-0.139157,51.319396
168964,2.00552E+12,-2.999329,51.234868
770541,200905AA32205,-3.02503,53.409059
1751542,2.01547E+12,0.636161,50.89929
660703,2.00833E+12,-1.202267,52.776498
1166838,2.01144E+12,-1.787708,50.919894
249004,2.0061E+12,-1.568415,54.90643
1681028,2.0151E+12,-1.562931,55.079754
1127037,2.01121E+12,-2.100818,52.796217
1514863,201401WW50359,-0.243797,51.461569
818996,2.00923E+12,-1.361132,52.149846
887383,2.00961E+12,-2.989071,51.57063
162387,200550D41Q900,-3.57345,50.940421
1378428,201301ZT80123,-0.226081,51.372634
1053991,2.01096E+12,-3.884601,56.149366
1537144,2.0141E+12,-1.616689,54.981603
1138719,201132E371611,0.177006,53.053037
270023,2006160D08970,-0.394154,53.744711
398398,200701MM70390,-0.066543,51.465884
465098,2.00722E+12,-2.108884,52.819314
1152215,2.01E+63,-0.183123,51.918447
1236071,201204BA12048,-2.754624,54.002105
1632981,2.01492E+12,-2.163803,57.164534
589882,200801XH30180,-0.447942,51.579821
899538,200997AD05002,-4.298319,55.870309
197768,200597UC02601,-4.506388,55.68558
363331,200654DE35106,-1.748691,51.5837
1368924,201301QK50334,-0.233001,51.547197
1124047,201120Z002681,-1.916651,52.545144
1603483,2.01445E+12,-0.553178,51.249886
683099,200843P072038,-1.037676,51.722093
1142896,201134WN11321,-0.916989,52.226984
1124079,201120Z003251,-1.762165,52.398575
